family,parameter_name,perturbation_type,condition_id,planar_displacement_mm,planar_displacement_mm_relative_delta,mean_planar_speed_mm_s,mean_planar_speed_mm_s_relative_delta,planar_path_length_mm,planar_path_length_mm_relative_delta,trajectory_efficiency,trajectory_efficiency_relative_delta,heading_yaw_change_rad,heading_yaw_change_rad_relative_delta,body_height_mean_mm,body_height_mean_mm_relative_delta,body_height_min_mm,body_height_min_mm_relative_delta,body_height_range_mm,body_height_range_mm_relative_delta,joint_angle_action_abs_mean,joint_angle_action_abs_mean_relative_delta,parameter_value
coordination_proxy,scale,cpg_coupling_scale,coordination_proxy_scale_100,6.284186050286936,0.0,12.568372100573873,0.0,,,,,0.2342730946151257,0.0,0.946592192150494,0.0,0.7660532202481788,0.0,0.4241419609713478,0.0,1.0243701362137825,0.0,1.0
coordination_proxy,scale,cpg_coupling_scale,coordination_proxy_scale_075,6.21723627703009,-0.01065369050519905,12.43447255406018,-0.01065369050519905,,,,,0.29121506035623623,0.2430580679128235,0.94667094441612,8.319555800172499e-05,0.7829816301210203,0.02209821644944876,0.40814319255128584,-0.03772031511200268,1.0243119639852822,-5.678829013432054e-05,0.75
coordination_proxy,scale,cpg_coupling_scale,coordination_proxy_scale_050,6.105537853973774,-0.028428215664462225,12.211075707947549,-0.028428215664462225,,,,,0.33130987292379543,0.41420368168220983,0.9564334845117194,0.01039654926676262,0.7780077464721564,0.015605346871467649,0.414154899717345,-0.023546506059270795,1.0244046906374453,3.373236142022361e-05,0.5
coordination_proxy,scale,cpg_coupling_scale,coordination_proxy_scale_025,5.86435925463684,-0.06680686922547864,11.72871850927368,-0.06680686922547864,,,,,0.6723370956433131,1.8698860906236738,0.9533110556691604,0.007097949438397928,0.7374134292073727,-0.0373861636291113,0.4560225963953449,0.07516501161777471,1.02439751858488,2.673093458059986e-05,0.25
coordination_proxy,scale,cpg_coupling_scale,coordination_proxy_scale_000,3.405436197366035,-0.45809430686563735,6.81087239473207,-0.45809430686563735,,,,,2.2263880793047,8.503387842988586,0.9526676459956772,0.006418237859516761,0.6583795627992981,-0.14055636684615408,0.5364396390989776,0.26476436773775347,1.0239380323964007,-0.0004218239112074347,0.0
motor_vigor_proxy,scale,global_action_scale,motor_vigor_proxy_scale_100,6.284186050286936,0.0,12.568372100573873,0.0,,,,,0.2342730946151257,0.0,0.946592192150494,0.0,0.7660532202481788,0.0,0.4241419609713478,0.0,1.0243701362137825,0.0,1.0
motor_vigor_proxy,scale,global_action_scale,motor_vigor_proxy_scale_090,5.778194716715353,-0.08051819750761198,11.556389433430706,-0.08051819750761198,,,,,0.25904174280911674,0.10572553469992826,1.1725515871489955,0.23870828100236163,0.9752236333063744,0.27304945339232506,0.4027986330872235,-0.050321189243443205,0.9219331225924046,-0.09999999999999967,0.9
motor_vigor_proxy,scale,global_action_scale,motor_vigor_proxy_scale_080,5.612736582836174,-0.1068474838392323,11.225473165672348,-0.1068474838392323,,,,,0.26488362532130916,0.1306617422562835,1.4787535043295645,0.5621864585319387,1.1578504428805636,0.5114490903196699,0.4230394665550765,-0.002599352381326359,0.8194961089710263,-0.19999999999999968,0.8
motor_vigor_proxy,scale,global_action_scale,motor_vigor_proxy_scale_070,5.268050612232854,-0.161697223780904,10.536101224465709,-0.161697223780904,,,,,0.11859624957082766,-0.4937692278933572,1.7640121538755738,0.86353972545246,1.1578504428805636,0.5114490903196699,0.6849080350374201,0.6148084793800629,0.7170590953496476,-0.3000000000000001,0.7
motor_vigor_proxy,scale,global_action_scale,motor_vigor_proxy_scale_060,4.665347652380944,-0.2576051035013638,9.330695304761887,-0.2576051035013638,,,,,0.12149833837745547,-0.48138159622188637,2.0254362305602083,1.1397136458085153,1.1578504428805636,0.5114490903196699,1.1738072614701283,1.7674867602864286,0.6146220817282696,-0.3999999999999999,0.6
