seed,status,overall_pass,same_seed_within_pair,baseline_planar_displacement_mm,candidate_planar_displacement_mm,delta_planar_displacement_mm,baseline_mean_planar_speed_mm_s,candidate_mean_planar_speed_mm_s,delta_mean_planar_speed_mm_s,baseline_planar_path_length_mm,candidate_planar_path_length_mm,delta_planar_path_length_mm,baseline_trajectory_efficiency,candidate_trajectory_efficiency,delta_trajectory_efficiency,baseline_heading_yaw_change_rad,candidate_heading_yaw_change_rad,delta_heading_yaw_change_rad,baseline_body_height_mean_mm,candidate_body_height_mean_mm,delta_body_height_mean_mm,baseline_body_height_min_mm,candidate_body_height_min_mm,delta_body_height_min_mm,baseline_body_height_range_mm,candidate_body_height_range_mm,delta_body_height_range_mm,baseline_joint_angle_action_abs_mean,candidate_joint_angle_action_abs_mean,delta_joint_angle_action_abs_mean
0,completed,True,True,13.55425266371172,12.209298120512443,-1.344954543199277,13.55425266371172,12.209298120512443,-1.344954543199277,19.334737843258594,17.193554632264657,-2.141183210993937,0.7010311064774873,0.7101090136184532,0.009077907140965902,0.2250561052136932,0.27255896786611755,0.047502862652424344,0.9452597333836624,1.501100743442102,0.5558410100584396,0.7660532202481788,1.1578504428805636,0.3917972226323848,0.4241419609713478,0.4439403559278492,0.019798394956501375,1.025643456733028,0.8204914960728668,-0.20515196066016117
1,completed,True,True,13.69780653249892,12.227248756974877,-1.4705577755240427,13.69780653249892,12.227248756974877,-1.4705577755240427,19.10555863072271,17.102944792624452,-2.0026138380982594,0.7169539921471937,0.7149206704010299,-0.0020333217461637743,-0.04880526701612776,0.16278631993081877,0.21159158694694652,0.945300564711043,1.4629689169259616,0.5176683522149187,0.6663562861516591,1.0806756340159203,0.41431934786426117,0.49150097831620665,0.5121766942414121,0.02067571592520545,1.0258742448673535,0.8207980167617113,-0.2050762281056422
2,completed,True,True,13.87037838687909,12.299937203437826,-1.5704411834412628,13.87037838687909,12.299937203437826,-1.5704411834412628,19.31296134878355,17.379790080694857,-1.9331712680886923,0.718190138549246,0.707714946286973,-0.010475192262273003,-0.15270835703840396,-0.06054661772258841,0.09216173931581556,0.9487256527166658,1.495055060226211,0.5463294075095452,0.746683721354968,1.1578504428805636,0.41116672152559564,0.43805526821998964,0.4335906606850466,-0.004464607534943044,1.0255665869839519,0.8205629370611434,-0.2050036499228085
3,completed,True,True,13.805072782973573,12.314969417308056,-1.490103365665517,13.805072782973573,12.314969417308056,-1.490103365665517,19.53601837688188,17.39445406373124,-2.141564313150642,0.7066472050062119,0.7079825197265435,0.0013353147203315485,0.030289942055454013,0.2432124440985085,0.2129225020430545,0.9458922829023,1.4890464515752406,0.5431541686729406,0.7346855354935546,1.1578504428805636,0.42316490738700896,0.4384330473399345,0.43522110647420664,-0.003211940865727847,1.0258147868981993,0.8206819951273152,-0.20513279177088406
4,completed,True,True,13.828898006891661,12.458746818334713,-1.3701511885569477,13.828898006891661,12.458746818334713,-1.3701511885569477,19.284998953726102,17.471469785232507,-1.813529168493595,0.7170805681697869,0.7130909403435124,-0.003989627826274544,0.06243005318200347,0.31692466284431087,0.2544946096623074,0.9475828426357181,1.5071718495936828,0.5595890069579647,0.7821105730034926,1.1578504428805636,0.375739869877071,0.3757466914643731,0.4337232143783407,0.0579765229139676,1.025284965816015,0.8202611641411188,-0.2050238016748962
